measure type,topic number,value
average precision,401,0.138517588
average precision,402,0.25046067
average precision,403,0.699816523
average precision,404,0
average precision,405,0.034353194
average precision,406,0.265706757
average precision,407,0.134083055
average precision,408,0.100916749
average precision,409,0.111111111
average precision,410,0.525113919
average precision,411,0.08979741
average precision,412,0.567075693
average precision,413,0.333333333
average precision,414,0.025686977
average precision,415,0.25
average precision,417,0.301101034
average precision,418,0.168860041
average precision,419,0.513392857
average precision,420,0.624382468
average precision,421,0.008249158
average precision,422,0.432871605
average precision,424,0.039929168
average precision,425,0.584515005
average precision,426,0.042216709
average precision,427,0.130124002
average precision,428,0.366304348
average precision,429,0.782258065
average precision,430,0.871111111
average precision,431,0.287652266
average precision,432,0.001466276
average precision,433,0.00462963
average precision,434,0.416666667
average precision,435,0.030173295
average precision,436,0.131073221
average precision,438,0.152555053
average precision,439,0.02764789
average precision,440,0.543830978
average precision,441,0.748099415
average precision,442,0.051598174
average precision,443,0.131194296
average precision,445,0.227272727
average precision,446,0.062163327
average precision,448,0.058823529
average precision,449,0.00127551
average precision,450,0.138194275
precision at 10,401,0.3
precision at 10,402,0.5
precision at 10,403,0.6
precision at 10,404,0
precision at 10,405,0.1
precision at 10,406,0.2
precision at 10,407,0.3
precision at 10,408,0.2
precision at 10,409,0.1
precision at 10,410,0.2
precision at 10,411,0.3
precision at 10,412,0.9
precision at 10,413,0.1
precision at 10,414,0
precision at 10,415,0.1
precision at 10,417,0.5
precision at 10,418,0.6
precision at 10,419,0.2
precision at 10,420,0.7
precision at 10,421,0
precision at 10,422,0.9
precision at 10,424,0.2
precision at 10,425,0.9
precision at 10,426,0.5
precision at 10,427,0.3
precision at 10,428,0.2
precision at 10,429,0.3
precision at 10,430,0.5
precision at 10,431,0.5
precision at 10,432,0
precision at 10,433,0
precision at 10,434,0.2
precision at 10,435,0
precision at 10,436,0.9
precision at 10,438,0.2
precision at 10,439,0
precision at 10,440,0.6
precision at 10,441,0.5
precision at 10,442,0.5
precision at 10,443,0.2
precision at 10,445,0.1
precision at 10,446,0.2
precision at 10,448,0.1
precision at 10,449,0
precision at 10,450,0.3
ndcg at 10,401,0.30240383
ndcg at 10,402,0.57368992
ndcg at 10,403,0.690647883
ndcg at 10,404,0
ndcg at 10,405,0.066254223
ndcg at 10,406,0.249525839
ndcg at 10,407,0.453742575
ndcg at 10,408,0.144652492
ndcg at 10,409,0.301029996
ndcg at 10,410,0.636682439
ndcg at 10,411,0.249664029
ndcg at 10,412,0.779908234
ndcg at 10,413,0.5
ndcg at 10,414,0
ndcg at 10,415,0.39038005
ndcg at 10,417,0.63254148
ndcg at 10,418,0.452601638
ndcg at 10,419,0.636682439
ndcg at 10,420,0.69691797
ndcg at 10,421,0
ndcg at 10,422,0.779908234
ndcg at 10,424,0.158409153
ndcg at 10,425,0.926636078
ndcg at 10,426,0.542042305
ndcg at 10,427,0.444097328
ndcg at 10,428,0.541399668
ndcg at 10,429,0.831872464
ndcg at 10,430,0.956029045
ndcg at 10,431,0.470556117
ndcg at 10,432,0
ndcg at 10,433,0
ndcg at 10,434,0.605260244
ndcg at 10,435,0
ndcg at 10,436,0.936379212
ndcg at 10,438,0.204834248
ndcg at 10,439,0
ndcg at 10,440,0.675416026
